FIPS,State,County,DIRSALES_FARMS07,DIRSALES_FARMS12,PCH_DIRSALES_FARMS_07_12,PCT_LOCLFARM07,PCT_LOCLFARM12,PCT_LOCLSALE07,PCT_LOCLSALE12,DIRSALES07,DIRSALES12,PCH_DIRSALES_07_12,PC_DIRSALES07,PC_DIRSALES12,PCH_PC_DIRSALES_07_12,FMRKT09,FMRKT16,PCH_FMRKT_09_16,FMRKTPTH09,FMRKTPTH16,PCH_FMRKTPTH_09_16,FMRKT_SNAP16,PCT_FMRKT_SNAP16,FMRKT_WIC16,PCT_FMRKT_WIC16,FMRKT_WICCASH16,PCT_FMRKT_WICCASH16,FMRKT_SFMNP16,PCT_FMRKT_SFMNP16,FMRKT_CREDIT16,PCT_FMRKT_CREDIT16,FMRKT_FRVEG16,PCT_FMRKT_FRVEG16,FMRKT_ANMLPROD16,PCT_FMRKT_ANMLPROD16,FMRKT_BAKED16,PCT_FMRKT_BAKED16,FMRKT_OTHERFOOD16,PCT_FMRKT_OTHERFOOD16,VEG_FARMS07,VEG_FARMS12,PCH_VEG_FARMS_07_12,VEG_ACRES07,VEG_ACRES12,PCH_VEG_ACRES_07_12,VEG_ACRESPTH07,VEG_ACRESPTH12,PCH_VEG_ACRESPTH_07_12,FRESHVEG_FARMS07,FRESHVEG_FARMS12,PCH_FRESHVEG_FARMS_07_12,FRESHVEG_ACRES07,FRESHVEG_ACRES12,PCH_FRESHVEG_ACRES_07_12,FRESHVEG_ACRESPTH07,FRESHVEG_ACRESPTH12,PCH_FRESHVEG_ACRESPTH_07_12,ORCHARD_FARMS07,ORCHARD_FARMS12,PCH_ORCHARD_FARMS_07_12,ORCHARD_ACRES07,ORCHARD_ACRES12,PCH_ORCHARD_ACRES_07_12,ORCHARD_ACRESPTH07,ORCHARD_ACRESPTH12,PCH_ORCHARD_ACRESPTH_07_12,BERRY_FARMS07,BERRY_FARMS12,PCH_BERRY_FARMS_07_12,BERRY_ACRES07,BERRY_ACRES12,PCH_BERRY_ACRES_07_12,BERRY_ACRESPTH07,BERRY_ACRESPTH12,PCH_BERRY_ACRESPTH_07_12,SLHOUSE07,SLHOUSE12,PCH_SLHOUSE_07_12,GHVEG_FARMS07,GHVEG_FARMS12,PCH_GHVEG_FARMS_07_12,GHVEG_SQFT07,GHVEG_SQFT12,PCH_GHVEG_SQFT_07_12,GHVEG_SQFTPTH07,GHVEG_SQFTPTH12,PCH_GHVEG_SQFTPTH_07_12,FOODHUB16,CSA07,CSA12,PCH_CSA_07_12,AGRITRSM_OPS07,AGRITRSM_OPS12,PCH_AGRITRSM_OPS_07_12,AGRITRSM_RCT07,AGRITRSM_RCT12,PCH_AGRITRSM_RCT_07_12,FARM_TO_SCHOOL09,FARM_TO_SCHOOL13
13021,GA,Bibb,2,14,600,1.62601626,12.38938053,,0.131729165,,15,,,0.096078092,,1,3,200,0.006407792,0.019638649,206.4807541,2,66.66666667,0,0,0,0,0,0,2,66.66666667,2,66.66666667,2,66.66666667,2,66.66666667,2,66.66666667,0,2,,0,,,0,0,,0,2,,0,,,0,,,13,8,-38.46153846,285,143,-49.8245614,1.847218801,0.91594448,-50.41494386,0,1,,0,,,0,,,0,0,0,0,0,,0,0,,0,0,,0,1,1,0,0,1,,0,,,0,1
13023,GA,Bleckley,5,4,-20,1.623376623,1.826484018,0.120753925,0.077116649,23,19,-17.39130435,1.767055931,1.472525769,-16.66784604,0,1,,0,0.077101002,,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,3,2,-33.33333333,,,,,,,3,2,-33.33333333,,,,,,,22,13,-40.90909091,169,132,-21.89349112,12.98401967,10.23017903,-21.2094614,3,1,-66.66666667,14,,,1.075599262,,,0,0,0,0,5,,0,11736,,0,909.5559172,,0,1,0,-100,6,7,16.66666667,21000,10000,-52.38095238,0,1
13025,GA,Brantley,23,8,-65.2173913,10.22222222,3.720930233,1.312936642,3.388077072,109,262,140.3669725,6.337946273,14.13084515,122.9562156,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,7,6,-14.28571429,30,14,114.2857143,1.744388882,1.618035705,-7.243406505,7,6,-14.28571429,30,10,-66.66666667,1.744388882,0.539345235,-69.0811355,24,23,-4.166666667,154,105,-31.81818182,8.954529596,5.663124966,-36.75686807,15,28,86.66666667,304,544,78.94736842,17.67647401,29.34038078,65.9854831,1,0,-100,1,1,0,,,,,,,0,3,0,-100,1,5,400,,7000,,0,1
13027,GA,Brooks,18,21,16.66666667,3.938730853,5.769230769,0.070159891,0.150735392,57,169,196.4912281,3.48986714,10.88496715,211.90205,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,28,32,14.28571429,6185,4447,39.08252755,378.6811976,398.3640345,5.197732835,28,32,14.28571429,5696,3898,-31.56601124,348.7418111,251.0627335,-28.00899533,99,66,-33.33333333,2650,1855,-30,162.2482091,119.4770063,-26.36158702,2,2,0,,,,,,,0,0,0,0,0,,0,0,,0,0,,0,0,5,,6,11,83.33333333,25000,217000,768,0,1
13029,GA,Bryan,5,6,20,6.493506494,10,0.535331906,,10,1,-90,0.35333192,0.030975096,-91.23342832,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,3,3,0,12,23,-47.82608696,0.423998304,0.371701152,-12.33428324,3,3,0,12,23,91.66666667,0.423998304,0.712427209,68.02595713,2,0,-100,,0,,,0,,1,0,-100,,0,,,0,,0,0,0,0,0,,0,0,,0,0,,0,0,2,,0,2,,0,,,0,0
13031,GA,Bulloch,32,29,-9.375,4.783258595,5.330882353,0.475093579,0.259197721,264,273,3.409090909,4.014110206,3.747271904,-6.64750812,0,1,,0,0.013382939,,1,100,0,0,0,0,0,0,1,100,1,100,1,100,1,100,1,100,20,25,25,1100,677,62.48153619,16.72545919,15.09889778,-9.725062798,20,22,10,1100,671,-39,16.72545919,9.210327646,-44.93228831,114,82,-28.07017544,1638,898,-45.17704518,24.90572923,12.3261911,-50.50861196,3,10,233.3333333,,10,,,0.137262707,,0,0,0,0,1,,0,,,0,,,0,12,3,-75,11,13,18.18181818,730000,,,0,0
13033,GA,Burke,16,30,87.5,3.418803419,7.633587786,0.250647163,0.040401763,122,43,-64.75409836,5.310813164,1.860263898,-64.97214569,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,18,14,-22.22222222,150,53,183.0188679,6.529688316,6.489292667,-0.618645901,18,14,-22.22222222,150,53,-64.66666667,6.529688316,2.292883409,-64.88525488,28,18,-35.71428571,431,468,8.584686775,18.7619711,20.24659312,7.912932061,6,6,0,63,46,-26.98412698,2.742469093,1.990049751,-27.43583669,0,0,0,0,1,,0,,,0,,,0,3,0,-100,10,10,0,26000,39000,50,0,1
13035,GA,Butts,6,13,116.6666667,4.109589041,9.285714286,0.142045455,2.125,5,51,920,0.215665977,2.174098389,908.0859408,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,4,300,,17,,,,,1,4,300,,17,,,0.724699463,,9,7,-22.22222222,77,71,-7.792207792,3.321256039,3.026685992,-8.869236314,1,9,800,,18,,,0.767328843,,0,0,0,0,0,,0,0,,0,0,,0,0,0,,2,4,100,,30000,,0,0
13037,GA,Calhoun,1,6,500,0.709219858,3.973509934,,0.004292997,,4,,,0.616617851,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2,6,200,,95,,,,,2,6,200,,95,,,14.64467396,,12,7,-41.66666667,2650,,,422.7149466,,,1,0,-100,,0,,,0,,0,0,0,0,1,,0,,,0,,,0,3,0,-100,10,6,-40,154000,321000,108.4415584,0,0
13039,GA,Camden,7,14,100,12.28070175,20.28985507,2.34741784,16.26373626,10,74,640,0.204302613,1.440585579,605.1234231,0,1,,0,0.018865077,,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,5,,0,5,-100,0,0,,0,5,,0,,,0,,,4,3,-25,5,5,0,0.102151307,0.097336863,-4.713050927,2,7,250,,25,,,0.486684317,,0,0,0,0,0,,0,0,,0,0,,0,1,3,200,0,3,,0,4000,,0,
13043,GA,Candler,8,3,-62.5,2.826855124,1.260504202,0.159561411,0.080221054,39,18,-53.84615385,3.68411109,1.616524472,-56.12172291,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,4,3,-25,,,,,,,4,3,-25,,,,,,,51,49,-3.921568627,394,746,89.34010152,37.21896845,66.99595869,80.00487784,6,4,-33.33333333,93,,,8.785187984,,,0,0,0,0,0,,0,0,,0,0,,0,0,0,,5,1,-80,15000,,,0,
13045,GA,Carroll,35,22,-37.14285714,3.320683112,2.420242024,0.054131385,0.04527807,84,87,3.571428571,0.7710171,0.780913399,1.283538243,1,2,100,0.008712471,0.017202673,97.44884355,1,50,0,0,0,0,0,0,2,100,2,100,2,100,2,100,2,100,5,24,380,3,61,-95.08196721,0.027536325,0.026928048,-2.208997559,5,24,380,3,61,1933.333333,0.027536325,0.547536981,1888.41705,16,19,18.75,48,72,50,0.4405812,0.646273158,46.68650366,10,12,20,14,4,-71.42857143,0.12850285,0.035904064,-72.05971359,1,1,0,2,1,-50,,,,,,,0,8,6,-25,3,22,633.3333333,,145000,,0,1
13047,GA,Catoosa,15,25,66.66666667,5.747126437,9.293680297,0.505205666,0.161368404,148,70,-52.7027027,2.366523289,1.076724297,-54.5018508,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,4,12,200,77,94,-18.08510638,1.231231711,1.184396727,-3.803913124,4,12,200,77,94,22.07792208,1.231231711,1.445886913,17.43418398,5,0,-100,10,0,-100,0.159900222,0,-100,2,2,0,,,,,,,0,0,0,0,0,,0,0,,0,0,,0,1,1,0,5,5,0,28000,4000,-85.71428571,0,0
13049,GA,Charlton,1,8,700,0.884955752,9.523809524,,0.158406879,,14,,,1.051051051,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,2,,0,,,0,0,,0,2,,0,,,0,,,10,9,-10,48,154,220.8333333,3.98142004,11.56156156,190.3878879,8,8,0,18,21,16.66666667,1.493032515,1.576576577,5.595595596,0,0,0,1,0,-100,,0,,,0,,0,1,1,0,0,5,,0,264000,,0,0
13051,GA,Chatham,0,5,,0,14.28571429,0,1.428225611,0,59,,0,0.213353777,,1,4,300,0.003891172,0.013836904,255.5973738,3,75,0,0,0,0,0,0,3,75,3,75,3,75,3,75,3,75,0,2,,0,,,0,0,,0,2,,0,,,0,,,3,0,-100,,0,,,0,,1,3,200,,9,,,0.032545491,,0,0,0,0,1,,0,,,0,,,0,0,1,,0,0,,0,0,,0,1
13053,GA,Chattahoochee,0,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,2,,0,,,0,,,1,3,200,,,,,,,0,0,0,0,0,,0,0,,0,0,,0,0,0,,0,1,,0,,,0,0
13055,GA,Chattooga,15,20,33.33333333,4.854368932,6.849315068,0.261237726,0.432464206,29,103,255.1724138,1.10560427,4.017317368,263.3594295,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,7,13,85.71428571,17,25,-32,0.648112848,0.663052381,2.305082101,7,13,85.71428571,17,,,0.648112848,,,5,5,0,56,60,7.142857143,2.13495997,2.340184875,9.612587966,2,5,150,,4,,,0.156012325,,0,0,0,0,0,,0,0,,0,0,,0,1,0,-100,4,12,200,,26000,,0,0
13057,GA,Cherokee,18,33,83.33333333,3.982300885,7.674418605,0.259297674,0.19526372,105,86,-18.0952381,0.518405877,0.389529801,-24.86007231,0,4,,0,0.016550195,,0,0,0,0,0,0,0,0,4,100,2,50,2,50,2,50,2,50,9,16,77.77777778,27,148,-81.75675676,0.133304368,0.12229424,-8.259390612,9,16,77.77777778,27,,,0.133304368,,,6,4,-33.33333333,47,14,-70.21276596,0.232048345,0.063411828,-72.67300997,4,7,75,11,17,54.54545455,0.054309187,0.077000077,41.78094178,0,0,0,0,2,,0,,,0,,,0,2,5,150,3,15,400,,261000,,0,1
13059,GA,Clarke,6,9,50,5.172413793,10,,0.041322314,,17,,,0.141410949,,1,4,300,0.008595348,0.032075184,273.1691084,4,100,0,0,0,0,0,0,4,100,4,100,4,100,4,100,4,100,6,6,0,24,8,200,0.21053555,0.199638986,-5.175640716,6,6,0,24,8,-66.66666667,0.21053555,0.066546329,-68.39188024,7,1,-85.71428571,14,,,0.122812404,,,2,3,50,,2,,,0.016636582,,0,0,0,1,3,200,,8640,,,71.87003502,,0,4,2,-50,2,1,-50,,,,0,1
13061,GA,Clay,0,0,,0,0,0,0,0,0,,0,0,,0,1,,0,0.331125828,,0,0,0,0,0,0,0,0,1,100,1,100,1,100,1,100,1,100,6,2,-66.66666667,28,,,8.583690987,9.029345372,5.191873589,6,2,-66.66666667,28,,,8.583690987,,,2,2,0,,,,,,,0,0,,0,0,,0,0,,0,0,0,0,0,,0,0,,0,0,,0,2,0,-100,2,7,250,,43000,,0,1
13063,GA,Clayton,2,0,-100,4.166666667,0,,0,,0,,,0,,1,2,100,0.003626184,0.007156608,97.35921163,0,0,0,0,0,0,0,0,1,50,1,50,1,50,1,50,1,50,2,0,-100,,0,,,,,2,0,-100,,0,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,2,100,1,0,-100,,0,,,0,,1,2,1,-50,2,1,-50,,,,0,
13065,GA,Clinch,4,9,125,3.669724771,11.25,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,,1,1,0,,,,,,,9,7,-22.22222222,286,294,2.797202797,41.82509506,43.78909741,4.695751076,36,44,22.22222222,1981,2894,46.08783443,289.704592,431.0396187,48.7859118,0,0,0,0,0,,0,0,,0,0,,0,3,0,-100,0,0,,0,0,,0,0
13067,GA,Cobb,13,16,23.07692308,10.07751938,14.54545455,2.104173853,2.969432314,61,102,67.21311475,0.090985296,0.14409914,58.37629404,1,6,500,0.001399204,0.008019782,473.167413,1,16.66666667,1,16.66666667,0,0,1,16.66666667,5,83.33333333,5,83.33333333,5,83.33333333,5,83.33333333,5,83.33333333,6,13,116.6666667,16,20,-20,0.023864996,0.022603787,-5.28476533,6,13,116.6666667,16,20,25,0.023864996,0.028254733,18.39404334,7,5,-28.57142857,40,3,-92.5,0.059662489,0.00423821,-92.8963574,4,9,125,1,8,700,0.001491562,0.011301893,657.7218774,1,2,100,0,1,,0,,,0,,,0,3,4,33.33333333,0,7,,0,2358000,,0,1
13069,GA,Coffee,13,18,38.46153846,2.148760331,3.066439523,0.01487019,0.026474584,22,53,140.9090909,0.53270055,1.230240709,130.9441412,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,13,11,-15.38461538,244,77,216.8831169,5.908133369,5.663749681,-4.136394234,13,10,-23.07692308,244,,,5.908133369,,,33,31,-6.060606061,238,458,92.43697479,5.762851401,10.6311367,84.47702286,7,21,200,55,680,1136.363636,1.331751374,15.78422042,1085.222762,1,0,-100,0,0,,0,0,,0,0,,0,3,0,-100,1,3,200,,9000,,0,1
13071,GA,Colquitt,19,17,-10.52631579,2.950310559,3.512396694,0.075631759,0.024246279,194,61,-68.55670103,4.388246737,1.323009521,-69.85106808,1,0,-100,0.021931748,0,-100,,,,,,,,,,,,,,,,,,,44,33,-25,19510,14205,37.34600493,441.3128548,423.14616,-4.116511593,44,27,-38.63636364,,12872,,,279.1766977,,45,45,0,1636,2161,32.09046455,37.00603949,46.86923894,26.65294526,5,4,-20,,,,,,,0,0,0,0,2,,0,,,0,,,0,15,5,-66.66666667,3,7,133.3333333,,,,0,1
13073,GA,Columbia,7,7,0,3.76344086,4.827586207,0.348432056,1.410342512,13,42,223.0769231,0.112970784,0.31680181,180.4280886,0,1,,0,0.00678196,,1,100,0,0,0,0,0,0,1,100,1,100,1,100,1,100,1,100,10,5,-50,18,11,63.63636364,0.156421086,0.135772204,-13.20082972,10,5,-50,18,11,-38.88888889,0.156421086,0.082971903,-46.95606261,7,8,14.28571429,32,91,184.375,0.27808193,0.686403922,146.8351405,2,1,-50,,,,,,,0,0,0,0,0,,0,0,,0,0,,0,1,2,100,4,4,0,,14000,,0,1
13075,GA,Cook,5,4,-20,1.976284585,1.709401709,0.005108818,0.017245145,5,15,200,0.29677113,0.89026055,199.9821948,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,26,13,-50,3179,3459,-8.094825094,188.6870845,188.6758858,-0.00593507,24,11,-54.16666667,,2151,,,127.6633628,,39,30,-23.07692308,377,236,-37.4005305,22.37654321,14.00676598,-37.40424583,0,0,,0,0,,0,0,,0,0,0,0,0,,0,0,,0,0,,0,2,0,-100,2,3,50,,2000,,0,0
13077,GA,Coweta,8,19,137.5,1.797752809,5.322128852,0.31892275,0.949973854,36,109,202.7777778,0.304681946,0.833575504,173.5887422,0,1,,0,0.007116121,,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,8,18,125,18,34,-47.05882353,0.152340973,0.13765467,-9.640415411,8,17,112.5,18,,,0.152340973,,,9,10,11.11111111,19,15,-21.05263158,0.16080436,0.114712225,-28.66348585,8,6,-25,8,4,-50,0.067707099,0.030589927,-54.82020771,0,0,0,1,0,-100,,0,,,0,,0,1,5,400,4,16,300,128000,33000,-74.21875,0,
13079,GA,Crawford,6,15,150,3.191489362,9.677419355,,0.92569523,,483,,,38.15467256,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,3,7,133.3333333,,28,,,,,3,7,133.3333333,,,,,,,28,26,-7.142857143,6851,6590,-3.809662823,531.2911981,520.5782447,-2.016399566,7,7,0,7,16,128.5714286,0.542846064,1.263922901,132.8326544,0,0,0,0,0,,0,0,,0,0,,0,3,1,-66.66666667,2,4,100,,,,0,1
13081,GA,Crisp,7,6,-14.28571429,3.056768559,2.459016393,,,,,,,,,1,1,0,0.045024764,0.044012147,-2.24902073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,6.25,2599,2901,-10.41020338,112.2872203,109.8014364,-2.213772708,16,17,6.25,2599,2901,11.61985379,112.2872203,122.5602028,9.14884393,32,41,28.125,2618,3127,19.44232238,113.1080964,132.1081538,16.79814085,0,1,,0,,,0,,,0,0,0,0,0,,0,0,,0,0,,0,0,0,,0,2,,0,,,0,1
13083,GA,Dade,17,16,-5.882352941,6.390977444,8.333333333,0.217228973,0.122394859,32,36,12.5,1.922152811,2.176673318,13.24142935,0,1,,0,0.061511964,,0,0,0,0,0,0,0,0,0,0,1,100,1,100,1,100,1,100,1,3,200,,5,,,,,1,3,200,,5,,,0.302315739,,3,2,-33.33333333,,,,,,,5,2,-60,5,,,0.300336377,,,0,0,0,0,0,,0,0,,0,0,,0,2,0,-100,2,1,-50,,,,0,1
13085,GA,Dawson,7,8,14.28571429,3.365384615,4.395604396,0.007327833,0.009206069,5,5,0,0.23246083,0.223563604,-3.827408898,0,1,,0,0.042365701,,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,4,5,25,5,,,0.23246083,0.223563604,-3.827408898,4,5,25,5,,,0.23246083,,,8,2,-75,21,,,0.976335487,,,3,3,0,,,,,,,0,0,0,0,0,,0,0,,0,0,,0,2,0,-100,1,1,0,,,,0,1
